지역(소),2021 01분기
광화문,23
남대문,12.6
동대문,11.9
명동,37.3
시청,8.4
을지로,5.4
종로,9.8
충무로,5.7
소계,11.5
강남대로,9.5
교대역,8
남부터미널,3.9
논현역,19.1
도산대로,12.8
서래마을,11.1
신사역,13.6
압구정동,9.3
양재말죽거리,6
양재역,11.2
청담,18.3
테헤란로,18.8
소계,11.2
공덕역,6.8
당산역,12.9
동교연남,2.2
망원역,2.3
신촌이대,13.2
영등포,15.7
홍대합정,15
소계,6.9
가락시장,11.3
건대입구,3
경희대학교,2.3
구로디지털단지역,3.1
군자,5.7
노량진,7
독산시흥,10.6
뚝섬,1.3
목동,3.1
미아사거리,5.5
불광역,11.1
사당,6.1
상계역,0.9
서울대입구역,7
성신여자대학교,13.7
수유,4.2
숙명여자대학교,2.3
신림역,4
연신내,3.2
오류동역,4.6
왕십리,2.9
용산역,12.8
이태원,18.7
잠실송파,11.1
잠실새내역,9.4
장안동,10.2
천호,6.2
청량리,7.9
혜화동,12.1
화곡,10.8
