년도,월,광역시도,업종,값(만원(won))
"2018","01","서울","닭/오리요리","3850",
"2018","02","서울","닭/오리요리","3380",
"2018","03","서울","닭/오리요리","4050",
"2018","04","서울","닭/오리요리","3980",
"2018","05","서울","닭/오리요리","4340",
"2018","06","서울","닭/오리요리","4660",
"2018","07","서울","닭/오리요리","4960",
"2018","08","서울","닭/오리요리","4580",
"2018","09","서울","닭/오리요리","3880",
"2018","10","서울","닭/오리요리","4060",
"2018","11","서울","닭/오리요리","3820",
"2018","12","서울","닭/오리요리","4290",
"2018","01","서울","미용서비스","1700",
"2018","02","서울","미용서비스","1650",
"2018","03","서울","미용서비스","1930",
"2018","04","서울","미용서비스","1790",
"2018","05","서울","미용서비스","1880",
"2018","06","서울","미용서비스","1880",
"2018","07","서울","미용서비스","1910",
"2018","08","서울","미용서비스","1820",
"2018","09","서울","미용서비스","1800",
"2018","10","서울","미용서비스","1750",
"2018","11","서울","미용서비스","1700",
"2018","12","서울","미용서비스","1810",
"2018","01","서울","분식","2380",
"2018","02","서울","분식","2090",
"2018","03","서울","분식","2540",
"2018","04","서울","분식","2530",
"2018","05","서울","분식","2710",
"2018","06","서울","분식","2660",
"2018","07","서울","분식","2770",
"2018","08","서울","분식","2790",
"2018","09","서울","분식","2520",
"2018","10","서울","분식","2770",
"2018","11","서울","분식","2640",
"2018","12","서울","분식","2670",
"2018","01","서울","의복/의류","2040",
"2018","02","서울","의복/의류","2230",
"2018","03","서울","의복/의류","2370",
"2018","04","서울","의복/의류","2350",
"2018","05","서울","의복/의류","2370",
"2018","06","서울","의복/의류","2130",
"2018","07","서울","의복/의류","2020",
"2018","08","서울","의복/의류","1790",
"2018","09","서울","의복/의류","2080",
"2018","10","서울","의복/의류","2620",
"2018","11","서울","의복/의류","2480",
"2018","12","서울","의복/의류","2510",
"2018","01","서울","일반병원","5130",
"2018","02","서울","일반병원","4290",
"2018","03","서울","일반병원","4930",
"2018","04","서울","일반병원","4760",
"2018","05","서울","일반병원","4850",
"2018","06","서울","일반병원","4770",
"2018","07","서울","일반병원","4840",
"2018","08","서울","일반병원","4820",
"2018","09","서울","일반병원","4530",
"2018","10","서울","일반병원","5260",
"2018","11","서울","일반병원","5080",
"2018","12","서울","일반병원","5320",
"2018","01","서울","입시학원","4100",
"2018","02","서울","입시학원","3440",
"2018","03","서울","입시학원","4060",
"2018","04","서울","입시학원","3300",
"2018","05","서울","입시학원","3800",
"2018","06","서울","입시학원","3560",
"2018","07","서울","입시학원","4120",
"2018","08","서울","입시학원","3860",
"2018","09","서울","입시학원","3430",
"2018","10","서울","입시학원","3500",
"2018","11","서울","입시학원","3320",
"2018","12","서울","입시학원","3660",
"2018","01","서울","중식","4100",
"2018","02","서울","중식","3650",
"2018","03","서울","중식","4030",
"2018","04","서울","중식","3880",
"2018","05","서울","중식","4040",
"2018","06","서울","중식","3950",
"2018","07","서울","중식","4250",
"2018","08","서울","중식","4260",
"2018","09","서울","중식","3860",
"2018","10","서울","중식","4280",
"2018","11","서울","중식","4170",
"2018","12","서울","중식","4720",
"2018","01","서울","커피/음료","2240",
"2018","02","서울","커피/음료","2020",
"2018","03","서울","커피/음료","2600",
"2018","04","서울","커피/음료","2590",
"2018","05","서울","커피/음료","2800",
"2018","06","서울","커피/음료","2820",
"2018","07","서울","커피/음료","3090",
"2018","08","서울","커피/음료","2970",
"2018","09","서울","커피/음료","2610",
"2018","10","서울","커피/음료","2620",
"2018","11","서울","커피/음료","2460",
"2018","12","서울","커피/음료","2620",
"2018","01","서울","한식","3610",
"2018","02","서울","한식","3170",
"2018","03","서울","한식","3780",
"2018","04","서울","한식","3680",
"2018","05","서울","한식","3880",
"2018","06","서울","한식","3750",
"2018","07","서울","한식","3900",
"2018","08","서울","한식","3850",
"2018","09","서울","한식","3570",
"2018","10","서울","한식","3890",
"2018","11","서울","한식","3870",
"2018","12","서울","한식","4300",
"2018","01","서울","화장품소매","2780",
"2018","02","서울","화장품소매","2860",
"2018","03","서울","화장품소매","2920",
"2018","04","서울","화장품소매","3040",
"2018","05","서울","화장품소매","3230",
"2018","06","서울","화장품소매","3070",
"2018","07","서울","화장품소매","3050",
"2018","08","서울","화장품소매","2920",
"2018","09","서울","화장품소매","2840",
"2018","10","서울","화장품소매","3050",
"2018","11","서울","화장품소매","3080",
"2018","12","서울","화장품소매","2970",
